venture_ID,HumanCapital,BusPlanning,EntrepOrient,Proactive,Self-efficacy,International,MoneyGrowth,SizeGrowth
101,-0.343306863,0.285303692,1.185873255,-0.165811094,0.09129819,0.277918987,-0.218470621,-0.004688169
102,0.841482994,1.026848288,0.781933459,-0.13425462,-2.54416422,-0.717195926,-0.092443921,-1.257678809
103,0.571936158,-0.570061596,0.381920783,1.86162564,-0.513388348,0.211139869,0.409732383,-0.266905084
104,0.400165423,-1.003004682,-0.930489443,-1.252161403,-0.41267156,0.231409817,-0.225390195,-0.49004241
105,-1.309161618,-0.111943234,-0.030659951,-0.850530258,0.218473434,-0.200335962,-0.067752264,-0.455757139
106,1.004922374,2.146187664,1.33522813,2.387392198,1.012521979,1.735880571,5.113099892,5.788609854
107,0.646837792,-0.442834504,0.737994901,-0.145957816,-0.718640431,-0.175542587,0.164963294,-0.404780673
108,-0.754625689,-1.292095112,-1.032006307,-1.271632319,0.430434501,-0.41016408,0.315959262,0.321092886
109,1.082947496,0.764279602,0.16578698,1.175741896,-0.498013762,-0.762113587,0.32230731,0.070433037
110,1.037046852,0.019242082,0.549618001,1.132530315,-1.086086322,-1.573740843,-0.443531179,-0.798637025
111,-0.142322311,1.25680506,0.051754792,-0.214925322,-0.053937696,-0.125133,0.059066666,-0.044801542
112,-0.416940981,-0.168170461,0.11190321,-2.843269109,0.198012962,0.051346512,-0.868050672,-0.380353608
113,-0.783064684,0.25901478,-0.507584601,0.264538944,-2.939322953,-0.995042085,-0.008133502,-0.543852553
114,0.360215127,1.038056458,-0.518574464,-0.52452968,-0.361148733,-0.563932032,-1.29164694,-0.599435624
115,1.003097143,2.348337216,1.326152261,-0.410810212,-0.599299411,0.465202809,1.000431162,0.517942414
116,1.178884279,-0.042408834,-0.257026682,-0.499300981,0.096939544,0.372419562,0.437624822,0.070536185
117,0.159952429,-1.049258962,1.431856957,-0.268440959,2.514182091,-0.142476212,0.102823341,-0.29969682
118,1.766441431,0.730872563,-0.355635951,2.757229496,0.606611525,0.617258284,1.681506288,1.658995028
119,-0.373790509,0.8752309,-0.132626507,1.166167177,0.41604745,1.091447169,0.368474538,-0.35456446
120,-0.492451481,0.845394621,-0.662529631,1.082710548,0.866286315,0.071838485,-0.480556325,0.642681105
121,-0.652699584,-0.14317301,-2.15539405,-1.552207197,-1.094514742,-0.834759778,0.436656937,0.67000032
122,-1.038774193,-0.527933945,-0.091562777,-0.246619393,0.385563433,-2.877931433,-0.60259941,-0.629303845
123,0.189727724,1.732891277,1.295133825,0.304049109,0.954519951,0.810181262,1.856288506,1.329699735
124,-0.340161044,0.305667974,0.850089259,-1.017707306,1.783770372,0.612028068,0.343280046,-0.375698179
125,-1.448799447,-0.197642929,-0.420683902,-0.571406919,0.99817764,-0.268732577,-0.302560014,-0.421809559
126,0.384744318,0.270149375,0.860338213,0.261881636,0.627764653,-0.44794828,0.561427994,0.811522116
127,0.782518655,0.761786817,0.146316421,0.295779794,-0.898566611,0.038787134,-0.320190337,-0.093316958
128,-0.783274118,-0.094471856,0.335756802,2.221988615,0.24207917,-0.763056569,-0.86559515,-1.079491871
129,0.723762348,-0.94689034,-0.666741302,-1.159063672,-0.341711017,1.71384757,-0.185361355,-0.38183388
130,-1.629359618,-0.549847,-0.209711061,-0.704596736,0.257772623,-0.663233375,-0.00262366,-0.23155603
131,-1.27853109,1.650089115,0.48009796,0.201588965,1.815862987,0.501789747,0.677159342,0.814105267
132,-1.986192149,-0.080181888,0.430024966,-0.424350747,0.430176489,0.105655831,-0.442038886,-0.389555859
133,1.341182451,-0.474556044,1.252217037,0.514327364,-0.617689633,1.703350822,0.180477656,0.539914395
134,-0.52295747,-1.988228348,-0.528483758,2.014149915,-1.57562429,-1.465198106,-0.692168963,0.018930177
135,-0.610645391,1.720167239,-1.384469004,-0.760184095,0.156397057,0.393483649,-1.515445725,-0.46982213
136,0.506655532,-0.972947781,-0.576918027,-0.022471409,-0.093656611,-0.18128008,-0.922645333,-0.922347415
137,-1.144239099,-1.165202304,-0.218552817,-1.230488539,0.262342499,0.158452837,-0.154285613,-0.689840941
138,1.465714932,0.037705319,-0.523099857,2.313937781,0.223754369,2.067507272,1.367010888,1.236565856
139,-0.376062371,-0.578158082,0.302792086,0.218253911,0.527297574,0.199356948,-0.57765638,-0.752760711
140,-0.687620903,0.808211712,0.04671702,0.408199704,0.402221143,-0.2641304,-0.423676587,-0.35892739
141,-0.074278719,1.727978428,0.822804913,-0.150615313,0.766096906,-0.871143611,0.072413659,-0.297409589
142,0.039965238,0.00285109,0.431488013,-0.275544196,-0.350550988,-0.115181018,-0.169103508,-0.313106002
143,-1.217834753,-1.176635276,-2.683104555,-0.653447493,0.550027728,1.161894009,-1.069714801,-0.630232075
144,2.275769959,2.091237426,0.602835893,1.272293654,1.235787677,1.454567877,4.313374747,4.813197593
145,0.943077579,-0.082846228,-0.368930981,0.015038266,0.659411493,-0.760397507,-0.608357435,-0.737451307
146,-0.450680048,1.226538065,-0.535351887,0.12393919,1.378329343,1.206752698,0.946766946,0.398243473
147,0.059801257,0.848656957,-0.423530167,0.030086197,0.535313568,-0.08751119,-0.236213036,-0.247484126
148,-1.371415791,0.436057576,-1.470228388,-0.294559069,-1.251667746,-0.215672213,0.078612363,0.139075277
149,-0.625991731,1.852958139,-1.513458595,0.577931475,-0.703185387,-1.08577331,-1.19697798,-0.150149477
150,-0.363586529,-1.033987625,0.548799391,-1.493939225,-1.453542151,-0.411148857,-0.616342785,0.039481626
151,1.159592549,-0.781459758,-0.89073375,0.697462352,-0.617825695,1.474941558,-0.24306909,-1.123989401
152,-1.268663221,0.366798501,-0.475208785,1.073271166,-0.04448731,-0.070249624,-0.498073291,0.362023203
153,1.741175696,-0.833265346,1.052974611,0.425487836,-0.839597134,1.275069389,0.262423635,-0.007299402
154,-1.375277676,-1.91887488,-0.713337141,-2.59190171,0.403821576,-0.031201029,-0.032278803,0.214903326
155,0.072886733,-0.279919308,-1.960413355,0.814237235,-0.76815801,-1.368916966,-0.53752657,0.220316156
156,-2.463696891,0.059418503,-1.008426899,0.508210109,0.108651209,-0.11848804,-1.016219998,-0.351499917
157,-0.842427199,0.815008205,-0.598749524,1.137106995,-0.008122586,-0.483552915,-1.3721375,-0.466799616
158,0.334201961,0.478413062,-0.068520827,0.47084709,-1.773069047,0.045614165,-0.928575758,-0.632153276
159,1.515734959,-0.556415159,-1.481068686,-0.317614445,-1.988509398,-1.258275461,-0.497366444,-0.391975902
160,-1.856443607,-0.956833165,-0.913248649,-0.548527554,-0.532934608,-0.667950619,0.335064216,0.33230438
161,0.35736801,0.419110434,-0.676604334,1.344795039,1.345756079,-0.178808028,0.217755986,-0.370575638
162,0.725185065,-0.348264023,0.173459106,0.352125982,0.038610341,0.201978778,-0.391616267,-0.5345539
163,-0.009587068,0.161300491,-0.435653843,-0.100017085,1.42267451,-0.788105085,-0.124028163,-0.26339121
