firm_ID,DiscFrequency,DiscVolume,FirmSize,InvestEd,ReportIncent,Volatility,Credibility,InvestLikelihood
101,-0.972416118,0.30035681,-0.614621366,1.494732581,-0.413148583,0.342374987,-0.22591825,-0.38815549
102,-0.132772143,-0.052484827,-0.703076443,0.230758028,1.979061116,-0.187569552,0.336319733,-0.569222569
103,-0.989060227,-0.226376849,-0.63769519,-0.191714039,-0.733786409,0.476231641,-0.766861876,-0.291578339
104,1.49090373,1.110164325,0.23223812,0.909024154,1.033565827,-0.508425708,0.572544665,1.429327254
105,0.36025377,0.640287154,0.233487362,-1.045086572,-0.305564426,1.691185556,-1.025522801,-0.236302893
106,1.366639635,-0.975216473,0.251793681,-1.357000637,0.585153133,-0.620717304,-1.137382732,0.082108306
107,-0.598011044,0.822101499,0.642177805,-0.269970136,0.795240535,-1.754115683,0.517442134,-0.445807183
108,-0.460104358,0.378985025,-0.421624877,0.754400717,1.255581062,-0.521147907,-0.074158019,0.32452217
109,-0.077398298,0.057454827,1.31089539,2.038278577,-0.170489601,0.199050678,0.033836247,-0.136664344
110,0.651011208,-0.035408088,-0.043108569,1.674521788,-0.101106438,-0.635787315,0.279957091,0.437300585
111,0.231741068,-0.362298571,0.345577507,0.411311618,-0.847521522,0.266847526,-0.91261402,-1.255567234
112,-1.610081845,-0.505996655,-1.525200601,-1.69955518,-1.466333601,0.583638446,1.610864283,0.791922343
113,-0.634095938,-0.276426086,-1.076580301,-0.760428184,-1.455140037,-0.903283637,-0.796609406,-0.618771459
114,0.016756962,0.660364238,-1.360105741,1.331775194,-0.278986529,-0.59375154,-0.044091355,-0.523872589
115,-0.446693679,0.225726749,-0.404068172,0.159963,-0.194621101,0.436596885,-0.542360741,-0.582274425
116,1.177208215,-0.527593999,0.178302665,-1.671513803,0.538292666,-0.302244468,-0.642136934,0.488041936
117,0.197221395,0.049987367,0.60408719,-0.903322882,-2.779243054,-0.079716523,-0.660329392,-1.296224664
118,2.249835791,1.928903893,2.704208685,0.95508855,2.145900024,-1.688165101,7.186282985,7.242491541
119,0.001879863,2.29302725,1.252754462,1.790896306,0.824749359,-2.238352277,4.046661028,3.26073267
120,0.858349367,1.582339595,1.179135863,0.316750341,1.449625295,0.571390371,1.155699378,0.880073
121,-0.708653986,2.847960152,1.57779342,1.750342216,1.160334877,-0.027679159,2.153650501,2.001543074
122,3.026741627,-0.060773951,0.664473395,-0.066724442,-0.240333691,-1.887345616,1.323856983,0.4514074
123,-0.279812865,-0.008326771,-0.786276651,0.199382865,0.734338694,2.420940038,-0.959437855,0.030814195
124,0.645460548,-0.184933618,0.592258241,0.29065962,0.041678242,-1.569525832,0.857298303,0.17749462
125,-0.475390066,0.092954184,0.632631959,-0.464221927,0.659163462,-0.791279313,-0.439135135,0.118585817
126,0.898911977,0.546433569,-0.126460638,1.916813116,-2.035833933,-0.589479873,-0.224339611,-0.260993306
127,-0.102668671,-2.033440978,-0.595372749,-1.211829117,-0.51932569,1.348584749,-0.003453622,0.569953676
128,0.934414344,0.288998114,1.194701392,1.303350985,1.84704066,-0.281042343,0.959557343,1.372526334
129,-0.138016207,-0.932412917,0.567833614,-0.254058788,-0.93397252,1.132491202,-1.366026494,-0.561011732
130,1.421334206,-0.477583791,-0.296555453,0.535009089,0.603043862,1.066749491,-0.17881328,-0.620960976
131,-0.400146696,1.225056439,-1.808671441,-1.251160365,0.681939339,2.609044677,-0.373291106,-0.125248968
132,1.766216064,0.315891726,1.30289177,-0.121531182,-0.138180496,-1.392538821,1.397868415,1.339770512
133,-0.729236459,-0.146455785,-0.39128754,-1.192916569,0.909594672,1.92342287,-1.338811747,-0.482214434
134,1.563353695,-0.116018742,0.913525558,-1.408142691,-0.682957796,0.294213395,-1.215486692,-0.649618566
135,1.101519973,-0.28093621,2.480809879,0.501555843,1.538304712,-0.712294033,1.59355673,2.177144684
136,-0.301759742,0.62765961,0.013169849,-0.601518872,-0.578807966,-0.281910981,-0.487580375,-0.886765584
137,2.569912943,0.051441223,-0.152166737,-0.055634232,-1.734013731,-0.615736302,-0.25344324,-0.230190338
138,-0.762163676,1.298945349,-0.991608066,-0.169888813,0.317787461,1.302145474,-0.0822701,-1.022383489
139,-1.18633633,-2.016828968,-0.615102939,-0.438722599,-0.385752091,0.194711618,-0.3690429,0.546976229
140,-0.453885049,1.504503591,1.770133208,1.37783079,1.558486533,0.256675447,0.993279891,1.536002501
141,-0.996256828,-0.863107006,-1.061116975,-1.314911485,-0.886972563,-0.532901206,-0.029652678,0.467409565
142,-0.607350696,-0.208055736,-0.328810091,0.425142085,1.264911212,0.154158451,-0.394863967,-0.590902391
143,-0.920721704,1.151005369,-0.004269767,2.875706524,-0.327689908,-0.680633353,-0.267007007,0.181649019
144,0.386788256,0.117923607,-1.903440209,1.466368415,1.196368581,-0.653099068,0.035176424,0.530293985
145,-0.91085802,-1.563451486,-0.868010817,-0.124747773,-1.029556533,0.588011717,0.367149123,0.166680841
146,0.295545414,-0.037367072,-0.384353616,-1.991996243,-0.414397861,0.095197574,-0.658770742,-0.054107387
147,-0.245144067,0.74333681,0.720276492,-1.356794473,-0.047456516,0.633410995,-0.309095462,-0.558155704
148,1.692828968,1.082627391,-0.825259308,1.528278667,1.302940803,-0.984384192,1.694259429,2.000958381
149,0.357524747,0.993073457,0.593525579,1.511210421,1.32872115,-0.201357734,1.132217065,1.001304177
150,-0.589214526,1.212050747,0.531027876,0.375899356,1.078258803,-0.154506937,0.30800107,0.20164035
151,0.076916079,-0.72955811,0.729972793,1.562732279,0.202154912,0.7316613,0.040510342,0.132496483
152,-0.309667242,0.136871452,-1.662674024,-1.871469625,-1.094153683,0.543356817,-0.341768435,0.218363434
153,-0.393987266,-1.530048958,0.765337513,-0.090936063,-1.614942913,0.704499796,-1.089981108,-1.194613366
154,-1.846879612,0.954305275,-1.263007442,-0.17124045,0.329021765,0.154370662,-0.6609918,-1.158670899
155,-1.333138736,0.883019161,-1.619691968,0.6623387,-0.180476872,-0.174894238,-1.061120974,-1.405780347
156,-1.341228008,0.874113544,-1.321238376,-1.386143913,-0.373719928,1.192453133,-0.323004918,-0.222421464
157,0.741257453,0.673296815,-0.204170719,-0.25701343,-1.040100625,-1.479460622,-0.105639837,-0.340187552
158,-0.331890211,0.150327431,0.48202187,0.983914725,0.512756166,-0.057956728,0.39904024,0.191849491
159,-2.268461647,-1.318857744,0.518750493,-0.482668519,2.632174399,2.473626514,-0.730754693,-0.920779219
160,1.364761958,-0.475709086,-0.239076102,-1.543376788,0.303188331,-0.193929455,0.08845149,-0.700111157
161,-0.775834574,0.477178004,0.381935998,0.027543371,1.666503744,0.050153614,-0.258409539,-0.381344217
162,-0.304018571,-0.173396648,-0.058285614,-0.484854355,-0.427657949,0.551998806,-0.607372368,-0.417836877
163,-2.455661065,0.093652818,-0.406762542,-0.877095646,-1.01945238,0.325414312,-0.503778809,-0.616940084
164,1.005653929,0.260087568,-0.53595941,-0.079274525,-0.519463801,-0.98418654,-0.165484943,-0.387474811
165,-0.206342501,0.235923095,0.932622249,0.326023139,0.335179196,-0.253347473,0.743728717,-0.246706032
166,-0.649886214,0.004349297,-0.032124812,-1.24003526,-0.36469162,2.303593059,-0.014471932,-0.527765865
167,-0.8272406,2.388493658,0.265748005,0.33101058,-1.264709608,-0.457077733,-0.640147839,-0.833060549
168,1.056703826,-0.679305552,-1.000450366,1.331396499,-0.239898366,-2.243786372,0.208765864,0.378698663
169,0.328842278,-1.287996208,-0.804022729,0.246774534,-0.118642975,-0.750747428,-0.286360892,-0.460823697
170,0.41374583,-1.503948662,-0.852724268,1.60486865,0.004671,-0.628780001,-0.118582791,-0.651590977
171,0.882264822,0.532844887,1.229465552,0.527337186,0.997868538,-0.520007766,1.249542286,0.963932791
172,-0.940685001,0.04611319,0.346494,0.228215792,-0.760467682,0.646111896,-1.419108934,-0.601791864
173,-1.891795209,-0.828470866,0.231772263,-0.699032537,-0.23294075,-0.065916677,-0.797196412,-0.795691124
174,1.834825907,0.029942973,-0.169139464,-0.43847668,-0.406287802,0.607422955,-0.43073213,-0.054273984
