part_ID,Intelligence,Conscientiousness,Extraversion,Opennenss,Neuroticism,Self-efficacy,Agreeableness,EI,Comm_skill,Performance,Satisfaction,OCBs,CWBs
101,-0.77934898,-0.455719548,-0.845665226,-2.428058349,0.153221849,0.14424159,1.38256221,0.776070749,-0.98465082,-0.475921325,-0.577843986,-0.863285846,0.461364557
102,0.245225846,1.396822324,1.080805822,-0.223192667,-0.737119486,-0.110218609,-2.321679362,-0.427531942,0.100364846,0.281633662,0.145171685,0.646595814,-1.284644136
103,0.606697639,0.026791954,0.613235944,-0.792691954,-0.415983598,0.709941885,0.673007829,-0.42117721,-0.603229489,-0.19913781,-0.300033434,-0.731211261,0.527279872
104,-0.723913418,-0.495704627,0.342110561,-0.61703516,-0.69302942,0.139329446,0.955160111,-0.107894318,0.374042505,-0.768942124,-1.020067636,-0.734000062,0.319403884
105,0.592588085,1.318998736,1.041752623,0.145298309,-2.723143736,1.176686749,-1.694500227,-1.115545957,1.969674077,2.765934398,2.353495596,2.858306535,-2.95371219
106,-0.92291002,-0.532157335,-0.649072052,-1.131427804,0.490118469,-0.044480096,-1.147013409,0.165514236,1.064516147,-1.06643222,-0.37443806,-0.43807537,0.998509348
107,-0.661589317,-0.201510008,-0.31485265,0.319535614,-1.680234369,-0.971021055,0.829766852,0.389959925,1.65462611,-0.423512123,-0.351796474,-0.317225835,0.816629868
108,-0.977560512,2.73939608,-0.926648718,0.021033011,-1.098514789,0.384038773,0.507761864,-2.818578307,-0.647294636,-1.551405608,-0.924960488,-1.588169636,0.637708935
109,0.189439509,-1.030075342,-0.12104936,0.837405981,-0.587488544,0.34526929,-0.873498121,0.003412472,-0.305616988,0.212279122,-0.634614895,0.21757651,-0.186613338
110,0.21131929,-0.636893849,1.487969452,0.989057647,-0.991566556,0.213861552,-1.467710192,0.31754391,-0.388460587,0.310562125,0.349735624,0.862593582,-0.519812031
