team_ID,Communication,Faultlines,Coordination,BackUp,Cohesion,Trust,Potency,PsychSafety,Performance,Satisfaction,Viability
101,1.552127927,-1.770979943,1.318387319,2.301319934,1.628824583,1.050985154,1.564301643,-0.035539068,3.714252516,3.731531217,3.756348674
102,1.195873597,0.188779071,0.520851945,1.22025583,1.149920379,-1.042932228,-0.699623221,0.259454946,-0.338799694,-0.301076769,-0.041256345
103,-0.197561693,-1.092062023,-0.308443103,-0.972131635,-0.453262013,-1.593285521,-1.194243989,-0.528329203,-0.302164928,0.032350788,-0.278745808
104,-0.839016869,1.417983885,-1.544672944,-0.052760024,-0.911450054,-0.663019221,-0.498812575,-1.155634438,0.248476199,-0.097700862,-0.272480993
105,1.731268366,-1.312080268,-1.264952822,-0.043262619,-1.906780688,1.090332885,-1.043896396,-0.950584145,-1.025555892,-0.487116455,-0.171248417
106,0.285587993,-1.466085665,-0.137106648,1.055250342,-0.07145146,0.317615969,0.360047024,1.447074804,0.865570035,0.887220319,0.592557482
107,0.738367019,0.441824025,-1.821107525,-1.717227682,-1.750531809,-2.341946653,-1.384328729,0.287111214,0.174859356,0.562133915,0.308589922
108,-0.548597499,-0.146677119,0.18827765,0.059810335,0.244185939,-0.156601536,0.143223665,0.144528234,-0.261708251,0.050813985,-0.72617918
109,0.344048614,0.115347482,-1.216711692,0.187745002,-0.832572592,-0.245891707,-0.596543895,-1.142641445,-0.541553442,-0.25890577,-0.745718312
110,0.803186351,-2.273643276,1.603497247,0.753793621,1.660277719,1.600723223,-0.603235213,2.039532944,3.482927391,2.895329543,3.165648265
111,-0.6472792,-0.94931043,-0.200700958,0.592816252,0.053381758,0.722518939,0.181262604,-1.231371955,-0.735173213,-0.451674717,-0.59214908
112,1.106041081,-1.552716632,2.089268385,1.090854314,-0.72510466,-0.016140423,0.255829546,0.396118202,0.565397346,0.67423303,0.529876927
113,-0.318365979,1.027934285,1.484553223,0.993909851,1.453207026,0.312729833,-0.028061303,0.358599982,0.043711242,0.455435524,0.113498691
114,-0.46059623,-0.334921126,2.855565031,-1.125244754,1.035768743,0.581759858,1.202228167,0.404979864,0.094507518,0.795808773,0.715573044
115,-1.187665374,0.66129209,1.423864217,-1.166816925,-0.060321458,0.715801922,1.274138385,2.463877985,-0.097175237,-0.178314727,-0.684328162
116,-1.88922487,1.640033125,0.654872978,-0.647735148,-1.262656009,-0.323541693,0.039636679,0.326103538,-0.881824993,-0.838446122,-0.243418719
117,0.20976038,-0.218773666,0.383384931,0.68637715,-0.156506068,0.78067366,0.197011372,-0.648237887,-0.286386254,-0.220504481,-0.191226217
118,-0.262497158,1.203032249,-0.912237351,1.795670326,-0.075353008,-0.761055764,-0.037819224,-1.027679368,-0.782958005,-1.118998859,-0.665435104
119,0.475682251,0.343527891,-0.807822184,0.452696135,0.173268254,0.106136688,-0.749746819,-2.166733326,-0.275626947,-0.804247234,-0.808029748
120,2.226663766,-0.092461337,-0.22165822,0.119210702,2.046935273,-0.059959768,0.043127945,0.494203256,0.683161413,0.582472294,0.634160392
121,0.21071248,-1.797233828,-0.436771298,0.070928022,0.519367985,-1.310325717,0.75701312,-2.061998599,-0.860730051,-0.634801679,-0.843511008
